City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
362,nanortalik,0,GL,1525254523,98,60.14,-45.24,25.85,23.78
363,paraguari,0,PY,1525251600,68,-25.62,-57.15,71.6,4.7
364,bonthe,68,SL,1525254938,81,7.53,-12.5,83.63,3.53
365,san quintin,20,PH,1525251600,70,17.54,120.52,89.6,4.7
366,shimoda,88,JP,1525254554,98,34.7,138.93,67.07,12.93
367,gornopravdinsk,88,RU,1525254939,52,60.06,69.92,41.96,8.23
368,guerrero negro,92,MX,1525254448,89,27.97,-114.04,56.81,8.46
369,kalmar,75,SE,1525252800,71,56.66,16.36,53.6,11.41
370,barcelos,75,PT,1525253400,76,41.53,-8.62,57.2,11.41
371,bonavista,8,CA,1525254940,82,48.65,-53.11,41.6,11.48
372,kjollefjord,0,NO,1525252800,51,70.95,27.35,42.8,10.29
373,cordoba,20,CO,1525254940,86,5.59,-73.79,45.11,2.19
374,outlook,0,CA,1525254941,73,51.48,-107.04,44.66,9.91
375,zarubino,92,RU,1525254941,97,42.65,131.06,42.68,6.67
376,ourem,75,PT,1525251600,71,39.64,-8.59,57.2,9.17
377,lianran,75,CN,1525251600,68,24.92,102.47,64.4,6.71
378,saint pete beach,90,US,1525253700,88,27.73,-82.74,71.6,4.7
